GL No.|GL Name|Sub-ledger No.|Sub-ledger Name (Alias)|Product|Country|Debit / Credit|Currency| CRR Balance as at Dec 31, 2013 | CRR Balance (HKD) as at Dec 31, 2013 |FX Rate to HKD (determined by column I & J)|Column1
10129600|Due from China Pay-Direct RMB|CPDIR209(F)|HaiPay-FL-174(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR210(A)|HaiPay-FL-175(Available)|Hybrid|China|Debit|RMB| 1,214,958.81 | 1,509,060.42 ||
10129600|Due from China Pay-Direct RMB|CPDIR210(F)|HaiPay-FL-175(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR211(A)|HaiPay-FL-176(Available)|Hybrid|China|Debit|RMB| 1,116,628.71 | 1,395,387.04 ||
10129600|Due from China Pay-Direct RMB|CPDIR211(F)|HaiPay-FL-176(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR212(A)|HaiPay-FL-177(Available)|Hybrid|China|Debit|RMB| 1,782,305.63 | 2,250,234.72 ||
10129600|Due from China Pay-Direct RMB|CPDIR212(F)|HaiPay-FL-177(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR213(A)|HaiPay-FL-178(Available)|Hybrid|China|Debit|RMB| 1,844,970.16 | 2,311,754.77 ||
10129600|Due from China Pay-Direct RMB|CPDIR213(F)|HaiPay-FL-178(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR214(A)|Xiao-Baofoo-212(Available)|Hybrid|China|Debit|RMB| 494,979.65 | 606,982.14 ||
10129600|Due from China Pay-Direct RMB|CPDIR214(F)|Xiao-Baofoo-212(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR215(A)|Xiao-Baofoo-213(Available)|Hybrid|China|Debit|RMB| 1,362,598.63 | 1,694,453.43 ||
10129600|Due from China Pay-Direct RMB|CPDIR215(F)|Xiao-Baofoo-213(Float)|Hybrid|China||||||
10129600|Due from China Pay-Direct RMB|CPDIR216(A)|Xiao-Baofoo-214(Available)|Hybrid|China|Debit|RMB| 773,739.45 | 948,491.55 ||
