GL No.|GL Name|Sub-ledger No.|Sub-ledger Name (Alias)|Product|Country|Debit / Credit|Currency| CRR Balance as at Dec 31, 2013 | CRR Balance (HKD) as at Dec 31, 2013 |FX Rate to HKD (determined by column I & J)|Column1|Column2|Column3||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR109|Temporary Account – Unknown Txn Offline|Offline|China|Debit|RMB| 1,052,310.42 | 1,336,456.44 |1.270021103|||X||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR115|Temporary Account - Offline pending deposit|Offline|China|Credit|RMB| (148,634.46)| (184,367.32)|1.240407642|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR116|Temporary Account - Offline pending payout|Offline|China|Debit|RMB| 981,806.24 | 1,204,659.77 |1.226983208|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR128|PSP - Mr. Xiao Bank-in-transit|Offline|China|Credit|RMB| (3,039,185.85)| (3,843,000.81)|1.264483648|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR139(A)|51ePay-51ePay-10415(Available)|Mobile|China|Debit|RMB| 760,470.36 | 940,182.73 |1.236317389|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR139(F)|51ePay-51ePay-10415(Float)|Mobile|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR140(A)|AllInPay-AllInPay-5001(Available)|Mobile|China|Debit|RMB| 778,235.67 | 949,272.68 |1.219775341|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR140(F)|AllInPay-AllInPay-5001(Float)|Mobile|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR159(A)|ToMerchantPay-GoPay-880111(Available)|Hybrid|China|Credit|HKD| (44,080.05)| (44,080.05)|1|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR159(F)|ToMerchantPay-GoPay-880111(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR164(A)|ToMerchantPay-YeePay-880112(Available)|Hybrid|China|Credit|RMB| 1,004.28 | (7,287.69)|-7.256631617|||x||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR164(F)|ToMerchantPay-YeePay-880112(Float)|Hybrid|China|Debit|RMB|||#DIV/0!|||||||||||||||||||||||||||||||
10129600|Due from China Pay-Direct RMB|CPDIR165(A)|LinkinPay-eBatong-045(Available)|Hybrid|China|Debit|RMB| 299,770.20 | 366,451.36 |1.222440923|||x||||||||||||||||||||||||||||
